date,stage_max_amplitude,stage_max_mean,snow_coverage_station_amplitude,snow_height_mean,snow_height_amplitude,water_hazard_sum,1_day,2_day,3_day,4_day,5_day,6_day,7_day
2000-01-01,11.0,79.2,0.0,36.65625,10.0,0,70.0,67.0,64.0,60.0,58.0,55.0,52.0
2000-01-02,14.0,76.8,0.0,37.0,9.5,0,67.0,64.0,60.0,58.0,55.0,52.0,49.0
2000-01-03,16.0,74.0,0.0,37.34375,9.0,0,64.0,60.0,58.0,55.0,52.0,49.0,46.0
2000-01-04,18.0,70.8,0.0,37.21875,9.0,0,60.0,58.0,55.0,52.0,49.0,46.0,44.0
2000-01-05,21.0,67.0,0.0,37.09375,9.0,0,58.0,55.0,52.0,49.0,46.0,44.0,42.0
2000-01-06,22.0,63.8,0.0,37.0,9.0,0,55.0,52.0,49.0,46.0,44.0,42.0,40.0
2000-01-07,24.0,60.8,0.0,36.875,9.0,0,52.0,49.0,46.0,44.0,42.0,40.0,39.0
2000-01-08,22.0,57.8,0.0,36.75,5.0,0,49.0,46.0,44.0,42.0,40.0,39.0,39.0
2000-01-09,21.0,54.8,0.0,36.53125,5.0,0,46.0,44.0,42.0,40.0,39.0,39.0,39.0
2000-01-10,21.0,52.0,0.0,36.4375,5.0,0,44.0,42.0,40.0,39.0,39.0,39.0,39.0
2000-01-11,20.0,49.2,0.0,36.4375,5.0,0,42.0,40.0,39.0,39.0,39.0,39.0,39.0
2000-01-12,18.0,46.6,0.0,36.40625,5.0,0,40.0,39.0,39.0,39.0,39.0,39.0,39.0
2000-01-13,18.0,44.2,0.0,36.4375,5.0,0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
2000-01-14,16.0,42.2,0.0,36.625,3.0,0,39.0,39.0,39.0,39.0,39.0,39.0,37.0
2000-01-15,13.0,40.8,0.0,36.71875,3.0,0,39.0,39.0,39.0,39.0,39.0,37.0,36.0
2000-01-16,10.0,39.8,0.0,36.84375,3.0,0,39.0,39.0,39.0,39.0,37.0,36.0,35.0
2000-01-17,7.0,39.2,0.0,37.03125,4.5,0,39.0,39.0,39.0,37.0,36.0,35.0,34.0
2000-01-18,5.0,39.0,0.0,37.21875,4.5,0,39.0,39.0,37.0,36.0,35.0,34.0,33.0
2000-01-19,3.0,39.0,0.0,37.40625,3.5,0,39.0,37.0,36.0,35.0,34.0,33.0,32.0
2000-01-20,1.0,39.0,0.0,37.6875,5.0,0,37.0,36.0,35.0,34.0,33.0,32.0,31.0
2000-01-21,2.0,38.6,0.0,38.0625,6.0,0,36.0,35.0,34.0,33.0,32.0,31.0,30.0
2000-01-22,3.0,38.0,0.0,38.4375,6.0,0,35.0,34.0,33.0,32.0,31.0,30.0,29.0
2000-01-23,4.0,37.2,0.0,38.8125,6.0,0,34.0,33.0,32.0,31.0,30.0,29.0,27.0
2000-01-24,5.0,36.2,0.0,39.1875,6.0,0,33.0,32.0,31.0,30.0,29.0,27.0,25.0
2000-01-25,6.0,35.0,0.0,39.5625,6.0,0,32.0,31.0,30.0,29.0,27.0,25.0,27.0
2000-01-26,7.0,34.0,0.0,39.96875,6.5,0,31.0,30.0,29.0,27.0,25.0,27.0,27.0
2000-01-27,8.0,33.0,0.0,40.40625,7.0,0,30.0,29.0,27.0,25.0,27.0,27.0,27.0
2000-01-28,7.0,32.0,0.0,40.875,7.5,0,29.0,27.0,25.0,27.0,27.0,27.0,26.0
2000-01-29,7.0,31.0,0.0,41.28125,7.5,0,27.0,25.0,27.0,27.0,27.0,26.0,26.0
2000-01-30,8.0,29.8,0.0,41.65625,7.5,0,25.0,27.0,27.0,27.0,26.0,26.0,25.0
2000-01-31,9.0,28.4,0.0,42.03125,7.5,0,27.0,27.0,27.0,26.0,26.0,25.0,25.0
2000-02-01,8.0,27.6,0.0,42.40625,7.5,0,27.0,27.0,26.0,26.0,25.0,25.0,24.0
2000-02-02,7.0,27.0,0.0,42.6875,6.5,0,27.0,26.0,26.0,25.0,25.0,24.0,23.0
2000-02-03,6.0,26.6,0.0,43.0,6.5,0,26.0,26.0,25.0,25.0,24.0,23.0,22.0
2000-02-04,5.0,26.4,0.0,43.34375,7.0,0,26.0,25.0,25.0,24.0,23.0,22.0,21.0
2000-02-05,4.0,26.6,0.0,43.59375,7.0,0,25.0,25.0,24.0,23.0,22.0,21.0,20.0
2000-02-06,2.0,26.2,0.0,43.75,5.5,0,25.0,24.0,23.0,22.0,21.0,20.0,19.0
2000-02-07,2.0,25.8,0.0,43.90625,5.5,0,24.0,23.0,22.0,21.0,20.0,19.0,18.0
2000-02-08,3.0,25.2,0.0,44.25,8.5,0,23.0,22.0,21.0,20.0,19.0,18.0,17.0
2000-02-09,4.0,24.6,0.0,44.59375,7.0,0,22.0,21.0,20.0,19.0,18.0,17.0,16.0
2000-02-10,5.0,23.8,0.0,44.96875,6.0,0,21.0,20.0,19.0,18.0,17.0,16.0,15.0
2000-02-11,5.0,23.0,0.0,45.25,6.0,0,20.0,19.0,18.0,17.0,16.0,15.0,14.0
2000-02-12,6.0,22.0,0.0,45.5,6.0,0,19.0,18.0,17.0,16.0,15.0,14.0,13.0
2000-02-13,6.0,21.0,0.0,45.71875,6.0,0,18.0,17.0,16.0,15.0,14.0,13.0,12.0
2000-02-14,7.0,20.0,0.0,45.96875,6.0,0,17.0,16.0,15.0,14.0,13.0,12.0,11.0
2000-02-15,7.0,19.0,0.0,46.21875,5.5,0,16.0,15.0,14.0,13.0,12.0,11.0,10.0
2000-02-16,7.0,18.0,0.0,46.46875,5.0,0,15.0,14.0,13.0,12.0,11.0,10.0,8.0
2000-02-17,7.0,17.0,0.0,46.6875,4.5,0,14.0,13.0,12.0,11.0,10.0,8.0,7.0
2000-02-18,7.0,16.0,0.0,47.0,5.0,0,13.0,12.0,11.0,10.0,8.0,7.0,6.0
2000-02-19,7.0,15.0,0.0,47.3125,5.5,0,12.0,11.0,10.0,8.0,7.0,6.0,4.0
2000-02-20,7.0,14.0,0.0,47.59375,5.5,0,11.0,10.0,8.0,7.0,6.0,4.0,3.0
2000-02-21,7.0,13.0,0.0,47.90625,6.0,0,10.0,8.0,7.0,6.0,4.0,3.0,3.0
2000-02-22,7.0,12.0,0.0,48.21875,6.0,0,8.0,7.0,6.0,4.0,3.0,3.0,3.0
2000-02-23,8.0,10.8,0.0,48.53125,5.5,0,7.0,6.0,4.0,3.0,3.0,3.0,3.0
2000-02-24,8.0,9.6,0.0,48.71875,6.0,0,6.0,4.0,3.0,3.0,3.0,3.0,3.0
2000-02-25,8.0,8.4,0.0,48.9375,6.5,0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
2000-02-26,9.0,7.0,0.0,49.09375,6.5,0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2000-02-27,9.0,5.6,0.0,49.34375,6.5,0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2000-02-28,8.0,4.6,0.0,49.5625,4.0,0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2000-02-29,7.0,3.8,0.0,49.75,4.0,0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2000-03-01,5.0,3.2,0.0,49.84375,4.0,0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2000-03-02,4.0,3.0,0.0,49.875,4.0,0,3.0,3.0,3.0,3.0,3.0,3.0,2.0
2000-03-03,3.0,3.0,0.0,49.875,4.0,0,3.0,3.0,3.0,3.0,3.0,2.0,2.0
2000-03-04,1.0,3.0,0.0,49.90625,4.0,0,3.0,3.0,3.0,3.0,2.0,2.0,2.0
2000-03-05,0.0,3.0,0.0,49.78125,4.5,0,3.0,3.0,3.0,2.0,2.0,2.0,2.0
2000-03-06,0.0,3.0,0.0,49.625,4.5,0,3.0,3.0,2.0,2.0,2.0,2.0,2.0
2000-03-07,0.0,3.0,0.0,49.65625,4.5,0,3.0,2.0,2.0,2.0,2.0,2.0,2.0
2000-03-08,0.0,3.0,0.0,49.71875,4.5,0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
2000-03-09,1.0,2.8,0.0,49.78125,4.5,0,2.0,2.0,2.0,2.0,2.0,3.0,3.0
2000-03-10,1.0,2.6,0.0,49.6875,4.5,0,2.0,2.0,2.0,2.0,3.0,3.0,4.0
2000-03-11,1.0,2.4,0.0,49.53125,4.5,0,2.0,2.0,2.0,3.0,3.0,4.0,5.0
2000-03-12,1.0,2.2,0.0,49.3125,4.5,0,2.0,2.0,3.0,3.0,4.0,5.0,6.0
2000-03-13,1.0,2.0,0.0,49.09375,4.5,0,2.0,3.0,3.0,4.0,5.0,6.0,7.0
2000-03-14,1.0,2.0,0.0,48.84375,4.5,0,3.0,3.0,4.0,5.0,6.0,7.0,7.0
2000-03-15,1.0,2.2,0.0,48.625,4.5,0,3.0,4.0,5.0,6.0,7.0,7.0,7.0
2000-03-16,1.0,2.4,0.0,48.4375,4.5,0,4.0,5.0,6.0,7.0,7.0,7.0,7.0
2000-03-17,2.0,2.8,0.0,48.3125,4.5,0,5.0,6.0,7.0,7.0,7.0,7.0,7.0
2000-03-18,3.0,3.4,0.0,48.25,4.5,0,6.0,7.0,7.0,7.0,7.0,7.0,7.0
2000-03-19,4.0,4.2,0.0,48.21875,4.0,0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
2000-03-20,5.0,5.0,0.0,48.28125,4.0,0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
2000-03-21,5.0,5.8,0.0,48.40625,4.0,0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
2000-03-22,4.0,6.4,0.0,48.5,4.0,0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
2000-03-23,4.0,6.8,0.0,48.375,4.0,0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
2000-03-24,3.0,7.0,0.0,48.21875,4.0,0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
2000-03-25,2.0,7.0,0.0,48.125,4.0,0,7.0,7.0,7.0,7.0,7.0,7.0,8.0
2000-03-26,1.0,7.0,0.0,48.03125,4.0,0,7.0,7.0,7.0,7.0,7.0,8.0,8.0
2000-03-27,0.0,7.0,0.0,47.9375,4.0,0,7.0,7.0,7.0,7.0,8.0,8.0,9.0
2000-03-28,0.0,7.0,0.0,47.78125,5.5,0,7.0,7.0,7.0,8.0,8.0,9.0,9.0
2000-03-29,0.0,7.0,0.0,47.65625,5.5,0,7.0,7.0,8.0,8.0,9.0,9.0,9.0
2000-03-30,0.0,7.0,0.0,47.5625,4.0,0,7.0,8.0,8.0,9.0,9.0,9.0,9.0
2000-03-31,0.0,7.0,0.0,47.4375,4.0,0,8.0,8.0,9.0,9.0,9.0,9.0,9.0
